"ParticipantNumber","OverallExp","PreRegImp","PreRegExp","PreRegUse_clinicalTrial","PreRegUse_non-clinical","PreRegUse_RR","PreRegUse_protocol","PreRegUse_other","PreRegHigh","RRExp_stage1_acc","RRExp_stage2_acc","RRExp_stage1_rej","RRExp_stage2_rej","RRExp_other","PreRegConcerns","PreRegCon_delay","PreRegCon_look","PreRegCon_prevent_exp","PreRegCon_stifle_creativity","PreRegCon_scooping","PreRegCon_other","PreRegCon_prevent_sig","PreRegCon_diff_pub","PreRegCon_none","CodeImp","CodeExp","CodeUse_useOthers","CodeUse_mine","CodeUse_reading","CodeUse_other","CodeUse_peer","CodeConcerns","CodeCon_criticise","CodeCon_diff_understand","CodeCon_assistance","CodeCon_lose_control","CodeCon_errors","CodeCon_credit","CodeCon_other","CodeCon_none","CodeCon_violate","CodeCon_ip","DataImp","DataExp","DataUse_useOthers","DataUse_mine","DataUse_peer","DataUse_reading","DataUse_other","DataConcerns","DataConcern_criticise","DataConcern_ip","DataConcern_devalues","DataConcern_other","DataConcern_none","DataConcern_effort","DataConcern_unfair","DataConcern_credit","DataConcern_ethics","DataConcern_privacy","DataConcern_control","DataConcern_scoop","PrePubImp","PrePubExp","PrePubUse_upload","PrePubUse_other","PrePubUse_cited","PrePubUse_read","PrePubConcerns","PrePubConcern_policy","PrePubConcern_scoop","PrePubConcern_noise","PrePubConcern_citations","PrePubConcern_other","PrePubConcern_compare","PrePubConcern_none","OAprop","OAfees_free","OAfees_research_income","OAfees_centre","OAfees_school","OAfees_collab","OAfees_own_money","OAfees_other","OAfees_withdrew","OAfees_waiver","OAfees_hdr","LastStudy","OSmost_data","OSmost_code","OSmost_prepub","OSmost_prereg","OSmost_none","OSmost_OA","OSmost_unknown","OSmost_other","OSmost_repo","OSTools_osf","OSTools_github","OSTools_ardc","OSTools_csiro","OSTools_cloudstor","OSTools_embl","OSTools_figshare","OSTools_code","OSTools_datacite","OSTools_toolbox","OSTools_orcid","OSTools_FAIR","OSTools_instRepo","OSBarriers","OSBarrier_noOAFunding","OSBarrier_noCredit","OSBarrier_noMandate","OSBarrier_noInfo","OSBarrier_noInfrastructure","OSBarrier_noTimeEngage","OSBarrier_colleaguesDis","OSBarrier_noInterest","OSBarrier_none","OSBarrier_intimidating","OSBarrier_other","OSBarrier_supervisorsDis","OSBarrier_noTraining","OSBarrier_independent","OSBarrier_noRecognition","OSBarrier_noSupport","OSBarrier_noOSFunding","OSBarrier_noTimeLearn","OSBarrier_noExpertise","RepDiscipline","crisis","RepEstimate","self_rep_own","self_rep_other","self_rep_pubOtherSuccess","self_rep_noPubSuccess","self_rep_noPubFail","self_rep_pubOtherFail","LearnedFrom_other","LearnedFrom_undergrad","LearnedFrom_myUniWorkshops","LearnedFrom_extWorkshops","LearnedFrom_internet","LearnedFrom_super","LearnedFrom_postgrad","LearnedFrom_otherUniWorkshops","LearnedFrom_colleagues","Teaching_no","Teaching_informal","Teaching_seminars","Teaching_ownStudents","Teaching_postgradUnits","Teaching_other","Teaching_fellowStudents","Teaching_undergradUnits","Funded","FundKnow","FORcode_2_num","FORcode_2_label","FORcode_4_num","FORcode_4_label","discipline","FORcode_2_num_0","AcademicLevel"
1044,"Aware, But Not Used","Not at all","Unaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,1,1,1,1,NA,NA,NA,NA,"Somewhat unimportant","Some Use",1,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,1,NA,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Somewhat unimportant","Some Experience",1,NA,1,1,"No",NA,1,NA,1,NA,NA,NA,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All info needed is in publication",NA,1,1,NA,NA,1,NA,NA,NA,"I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I use this","Yes",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,"Slight Crisis",95,"No","No","No","No","No","No",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"No","Yes",1," Mathematical Sciences",102," Applied Mathematics","Math, Chem, Enviro, & Bio Sciences","01","Associate Professor"
1045,"Extensive","Somewhat important","Unaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,1,NA,NA,NA,NA,NA,NA,NA,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat important","Unaware",NA,NA,NA,NA,"No",1,NA,NA,NA,NA,NA,NA,"Half",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"All info needed is in publication",1,1,NA,NA,NA,NA,NA,NA,NA,"I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","No",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Significant Crisis",50,"Yes","Yes","Yes","I can't remember","I can't remember","I can't remember",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"No","Yes",9," Engineering",905," Civil Engineering","Engineering","09","PhD Student"
1046,"Aware, But Not Used","Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,1,1,NA,1,NA,NA,1,NA,"Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,"No",1,1,1,1,NA,1,NA,NA,NA,1,"Extremely important","Aware, But Not Used",NA,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,NA,1,1,1,1,1,1,"Extremely important","Aware, But Not Used",NA,NA,NA,NA,"No",1,1,NA,NA,NA,NA,NA,"Some",NA,NA,1,1,NA,NA,NA,NA,NA,NA,"All info needed is in publication",NA,NA,1,NA,NA,1,NA,NA,1,"I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm aware of it, but don't use","I use this","I'm aware of it, but don't use","I'm aware of it, but don't use","No",NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,4,"Slight Crisis",73,"No","Yes","No","I can't remember","I can't remember","I can't remember",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3," Chemical Sciences",303," Macromolecular and Materials Chemistry","Math, Chem, Enviro, & Bio Sciences","03","PhD Student"
1047,"Some","Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,NA,NA,1,NA,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"No",1,NA,NA,1,1,1,NA,NA,NA,1,"Somewhat important","Some Use",1,1,1,NA,NA,"No",NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,"No",1,1,NA,1,NA,1,NA,"Some",1,NA,NA,NA,NA,NA,NA,NA,1,NA,"All info needed is in publication",NA,NA,1,NA,NA,1,NA,NA,NA,"I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this",NA,NA,NA,"I use this","I'm unaware of this","I use this","No",1,NA,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,NA,4,"Significant Crisis",60,"No","Yes","Yes","No","No","No",NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,"Yes","Yes",3," Chemical Sciences",306," Physical Chemistry (incl Structural)","Math, Chem, Enviro, & Bio Sciences","03","Professor"
1048,"Aware, But Not Used","Somewhat important","Unaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,1,1,1,NA,NA,NA,NA,NA,"Extremely important","Unaware",NA,NA,NA,NA,NA,"No",NA,1,NA,1,NA,1,NA,NA,NA,NA,"Extremely important","Unaware",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,"Somewhat important","Unaware",NA,NA,NA,NA,"No",NA,NA,NA,1,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,1,NA,NA,NA,"I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Don't Know",40,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"No","No",15," Commerce, Management, Tourism and Services",1505," Marketing","Business & Law","15","PhD Student"
1049,"Some","Not at all","Some Experience",1,NA,NA,NA,NA,"I have published one preregistered study",NA,NA,NA,NA,NA,"No",NA,NA,1,NA,NA,NA,NA,NA,NA,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,"Yes",NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,"Yes",1,NA,NA,NA,NA,NA,NA,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not possible because of other reasons",NA,NA,1,NA,NA,NA,NA,NA,1,"I'm unaware of this","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I use this","Yes",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Slight Crisis",10,"No","No","No","No","No","No",NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,"Yes","Yes",15," Commerce, Management, Tourism and Services",1504," Strategic Procurement","Business & Law","15","Associate Professor"
1050,"Extensive","Somewhat important","Unaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,1,NA,NA,NA,NA,NA,NA,"Extremely important","Regular Use",1,1,1,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Extremely important","Regular Use",1,1,NA,NA,NA,"No",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Somewhat important","Extensive Experience",1,NA,1,1,"No",NA,NA,NA,NA,NA,NA,1,"Most",1,NA,NA,NA,NA,NA,1,NA,NA,NA,"All info needed is openly available",1,1,1,NA,NA,1,NA,NA,NA,"I use this","I use this","I'm aware of it, but don't use","I'm unaware of this","I use this","I'm unaware of this","I'm aware of it, but don't use","I'm aware of it, but don't use","I use this","I'm unaware of this","I use this","I use this","I'm aware of it, but don't use","No",1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1,1,1,1,1,1,4,"Significant Crisis",70,"No","No","No","No","No","No",NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,"Yes","Yes",2," Physical Sciences",201," Astronomical and Space Sciences","Physical Sciences","02","Postdoc"
1051,"Some","Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,NA,NA,1,NA,"Extremely important","Regular Use",1,1,1,NA,1,"No",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Extremely important","Regular Use",1,1,1,1,NA,"No",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Extremely important","Extensive Experience",1,NA,1,1,"No",NA,NA,NA,NA,NA,NA,1,"Most",1,NA,NA,NA,NA,NA,1,NA,NA,NA,"All info needed is openly available",1,1,1,NA,NA,1,NA,NA,1,"I'm unaware of this","I use this","I'm aware of it, but don't use","I'm unaware of this","I use this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I use this","I use this","I use this","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,"Slight Crisis",70,"No","No","Yes","No","No","No",1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,"No","Yes",2," Physical Sciences",201," Astronomical and Space Sciences","Physical Sciences","02","Associate Professor"
1052,"Extensive","Somewhat unimportant","Reg Use",1,1,NA,1,NA,"I have published 2 or more preregistered studies",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extremely important","Regular Use",1,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat important","Regular Use",1,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all","Some Experience",NA,NA,1,NA,"Yes",1,NA,1,1,NA,NA,NA,"Some",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"All info needed is in publication",1,1,NA,1,NA,1,NA,NA,NA,"I use this","I'm unaware of this","I'm aware of it, but don't use","I use this","I use this","I use this","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I use this","I'm aware of it, but don't use","I use this","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Significant Crisis",80,"Yes","Yes","Yes","Yes","Yes","Yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,"Yes","Yes",17," Psychology and Cognitive Sciences",1701," Psychology","Psyc & Cog Sciences","17","Professor"
1053,"Some","Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,1,1,1,1,NA,NA,NA,NA,"Somewhat important","Regular Use",1,1,1,NA,NA,"No",NA,NA,1,1,NA,NA,NA,NA,NA,1,"Somewhat important","Regular Use",1,1,NA,1,NA,"No",NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,"No",1,NA,1,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All info needed is in publication",1,1,1,NA,NA,1,NA,NA,NA,"I'm unaware of this","I use this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I use this","Yes",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,5,"Don't Know",75,"No","No","No","No","No","No",NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"Yes","No",8," Information and Computing Sciences",803," Computer Software","Tech & Comp Sciences","08","PhD Student"
1054,"Some","Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,1,1,NA,NA,NA,NA,1,NA,"Somewhat important","Some Use",1,NA,NA,NA,NA,"No",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Somewhat important","Some Use",1,1,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,"Yes",1,1,NA,1,NA,1,NA,"Most",1,NA,NA,NA,NA,NA,NA,NA,1,NA,"Need info from research team",NA,NA,NA,NA,NA,1,NA,NA,1,"I'm aware of it, but don't use","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I use this","Yes",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,5,"Slight Crisis",40,"Yes","No","No","No","No","No",NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",17," Psychology and Cognitive Sciences",1701," Psychology","Psyc & Cog Sciences","17","Senior Lecturer"
1055,"Some","Not at all","Unaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,1,1,1,NA,NA,NA,NA,NA,"Researchers in my discipline do not use materials and/or code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"Not at all","Unaware",NA,NA,NA,NA,"Yes",1,NA,1,1,NA,1,NA,"Half",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I do not conduct research studies",NA,NA,NA,NA,NA,1,NA,NA,NA,"I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I use this","No",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"No","No",20," Language, Communication and Culture",2001," Communication and Media Studies","Arts, Soc Sciences, & Humanities","20","Senior Lecturer"
1056,"Aware, But Not Used","Extremely important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,NA,NA,NA,1,NA,NA,NA,NA,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"No",NA,NA,NA,1,NA,NA,NA,NA,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"Yes",NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,"Somewhat unimportant","Unaware",NA,NA,NA,NA,"No",1,NA,NA,NA,NA,NA,NA,"I don't know",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"All info needed is openly available",NA,NA,NA,NA,NA,NA,1,NA,NA,"I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Don't Know",25,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"No","No",11," Medical and Health Sciences",1110," Nursing","Medical & Health Sciences","11","Lecturer"
1057,"Some","Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Extremely important","Some Use",1,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Extremely important","Some Use",1,NA,NA,NA,NA,"No",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Somewhat important","Some Experience",1,NA,NA,1,"No",NA,NA,NA,NA,NA,NA,1,"Half",NA,1,1,NA,1,NA,NA,1,NA,NA,"All info needed is in publication",NA,1,1,1,NA,1,NA,NA,1,"I'm unaware of this","I use this","I'm aware of it, but don't use","I'm unaware of this","I use this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm aware of it, but don't use","I use this","No",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Significant Crisis",30,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,"Yes","Yes",17," Psychology and Cognitive Sciences",1702," Cognitive Sciences","Psyc & Cog Sciences","17","Senior Lecturer"
1058,"Extensive","Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",1,1,NA,NA,1,NA,NA,NA,NA,"Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,1,NA,1,1,NA,1,NA,"Not at all","Some Use",1,NA,NA,NA,NA,"Yes",NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,"Not at all","Aware, But Not Used",NA,NA,NA,NA,"Yes",NA,NA,1,NA,NA,NA,NA,"Some",1,NA,NA,NA,NA,NA,1,NA,NA,NA,"Not possible because of other reasons",1,1,NA,NA,NA,1,NA,NA,1,"I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm aware of it, but don't use","I use this","Yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,"No Crisis",10,"No","No","No","No","No","No",NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,"Yes","Yes",16," Studies in Human Society",1608," Sociology","Arts, Soc Sciences, & Humanities","16","Professor"
1059,"Unaware","Somewhat important","Unaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,1,NA,NA,NA,NA,NA,NA,NA,"Extremely important","Unaware",NA,NA,NA,NA,NA,"No",1,NA,1,1,NA,1,NA,NA,NA,1,"Extremely important","Unaware",NA,NA,NA,NA,NA,"No",1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,"Not at all","Unaware",NA,NA,NA,NA,"Yes",NA,1,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All info needed is openly available",NA,NA,NA,NA,1,NA,NA,NA,NA,"I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","No",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Slight Crisis",39,"I can't remember","I can't remember","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",9," Engineering",906," Electrical and Electronic Engineering","Engineering","09","PhD Student"
1060,"Aware, But Not Used","Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,NA,1,1,NA,NA,NA,NA,NA,"Somewhat important","Some Use",1,1,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,1,NA,NA,1,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"Yes",NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,"Yes",1,1,1,NA,NA,NA,NA,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Need info from research team",NA,NA,NA,NA,1,NA,NA,NA,NA,"I'm aware of it, but don't use","I'm unaware of this","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I use this","I use this","Yes",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,5,"Slight Crisis",29,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"Yes","Yes",15," Commerce, Management, Tourism and Services",1503," Business and Management","Business & Law","15","Professor"
1061,"Some","Somewhat important","Some Experience",1,NA,NA,1,NA,"I have published 2 or more preregistered studies",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,1,NA,1,NA,"Somewhat important","Some Use",NA,1,NA,NA,NA,"No",NA,NA,NA,1,NA,1,NA,NA,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"Yes",NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,"Not at all","Aware, But Not Used",NA,NA,NA,NA,"Yes",1,1,1,NA,NA,1,NA,"Most",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"All info needed is in publication",NA,NA,NA,1,NA,1,NA,NA,1,"I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I use this","Yes",1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,1,4,"Significant Crisis",41,"No","Yes","No","No","Yes","Yes",NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"Yes","Yes",11," Medical and Health Sciences",1117," Public Health and Health Services","Medical & Health Sciences","11","Professor"
1063,"Aware, But Not Used","Extremely important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,1,NA,NA,1,NA,NA,NA,NA,"Somewhat unimportant","Unaware",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,1,NA,1,NA,NA,1,NA,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,"Yes",NA,1,NA,NA,NA,NA,1,1,NA,NA,1,1,"Somewhat unimportant","Unaware",NA,NA,NA,NA,"Yes",1,1,1,NA,NA,1,NA,"Some",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"All info needed is in publication",NA,NA,NA,NA,1,NA,NA,NA,NA,"I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm aware of it, but don't use","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I'm unaware of this","I use this","I'm unaware of this","I use this","No",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,4,"Don't Know",60,"I can't remember","I can't remember","I can't remember","I can't remember","I can't remember","I can't remember",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Yes","No",17," Psychology and Cognitive Sciences",1701," Psychology","Psyc & Cog Sciences","17","Professor"
